"","loc_name","grant","grant_period","grant_status","file_name","disease","data_source","primary_recipient","secondary_recipient","file_currency","geography_detail","mod_framework_format","file_iteration","function_financial","sheet_financial","start_date_financial","period_financial","qtr_number_financial","language_financial","pudr_semester_financial","function_programmatic","sheet_impact_outcome_1a","language_1a","sheet_impact_outcome_1a_disagg","language_1a_disagg","sheet_coverage_1b","language_1b","sheet_coverage_1b_disagg","language_1b_disagg","start_date_programmatic","end_date_programmatic","pudr_semester_programmatic","update_date","ihme_received_date","received_from","dates_verified","version_type","notes"
"34","gtm","GTM-H-HIVOS","2018-2018","not_active","Anexo A  Herramienta de Evaluacion de Capacidades HIVOS.xlsx","hiv","document","HIVOS","na","USD","NA","TRUE","NA","NA",NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA
"35","gtm","GTM-H-HIVOS","2018-2018","not_active","Anexo A Herramienta de Evaluacion de Capacidades HIVOS.xlsx","hiv","document","HIVOS","na","USD","NA","TRUE","NA","NA",NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA
"36","gtm","GTM-H-INCAP","2018-2020","active","Anexo A Herramienta de Evaluación de Capacidades INCAP (2).xlsx","hiv","document","INCAP","na","USD","NA","TRUE","NA","NA",NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA
"37","gtm","GTM-H-INCAP","2018-2020","active","Anexo A Herramienta de Evaluación de Capacidades INCAP.xlsx","hiv","document","INCAP","na","USD","NA","TRUE","NA","NA",NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA
"38","gtm","NA","NA","NA","Anexo A Herramienta de Evaluacion de Capacidades PLANINT (2).xlsx","NA","document","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA
"39","gtm","NA","NA","NA","Anexo A Herramienta de Evaluacion de Capacidades PLANINT.xlsx","NA","document","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA
"40","gtm","GTM-T-MSPAS","2016-2019","active","ANEXO FINANCIERO JULIO 2016 A JUNIO 2017 SUBVENCION TB_RevALF.xls","tb","document","MoH","na","USD","NATIONAL","FALSE","final","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA
"41","gtm","GTM-M-MSPAS","2014-2018","active","ANEXOS DE ENE A DIC 2016 NOMINAL_Rev.gtos.ALF.xlsx","malaria","document","MoH","na","USD","NATIONAL","FALSE","final","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA",NA,"NA",NA,"NA",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA
"42","sen","SEN-H-CNLS","2015-2017","active","PUDR HIV 2017 MoH.xlsx","hiv","pudr","CNLS","na","EUR","NATIONAL","TRUE","final","pudr","LFA Expenditure_7B","42736","365","1","fr","2-B:3-A","master","Impact Outcome Indicators_1A","fr","Disaggregation_1A","fr","Coverage Indicators_1B","fr","Disaggregation_1B","fr","42917","43100","3-A",NA,NA,NA,"EL 9/11/2019",NA,NA
"43","cod","COD-M-SANRU","2018-2020","active","Anx 1_COD-M-SANRU_MG S22018 vf.xlsx","malaria","document","SANRU","na","USD","NA","TRUE","NA","NA",NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA
"44","cod","COD-M-PSI","2015-2017","not_active","APPROVED PSI BUDGET Extension.xlsx","malaria","budget","Population Services International","na","USD","NATIONAL","TRUE","revision","detailed","Detailed Budget","42005","90","12","eng",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",2016-04-01,NA,NA,NA,NA,"*It's unclear when this file was updated, but because it is the final, approved extension budget, I put the date in April so it would land after earlier revisions. EL 7/23/2019"
"45","cod","COD-M-SANRU","2015-2017","active","Budget SANRU_Finance_with savings30_10_14.xlsx","malaria","budget","SANRU","na","USD","NATIONAL","FALSE","initial","unknown",NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA
"46","cod","COD-M-SANRU","2018-2020","active","BUDGET SANRUGF CONSOLIDE  ROUTINE CAMPAGNE.xlsx","malaria","budget","SANRU","na","USD","NATIONAL","TRUE","initial","summary","RESUME BUDGET V2 CONSOLIDE","43101","90","12","fr",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA
"47","cod","COD-M-PSI","2015-2017","not_active","Budget_DRC NFM PSI Extension 20160309.xlsx","malaria","budget","Population Services International","na","USD","NATIONAL","TRUE","revision","detailed","Detailed Budget","42005","90","12","eng",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",2016-03-09,NA,NA,NA,NA,NA
"48","cod","COD-C-CORDAID","2018-2020","active","Budget_TB_HIV Grant_CORDAID.xlsx","hiv/tb","budget","CORDAID","na","USD","NATIONAL","TRUE","initial","detailed","Detailed Budget","43101","90","12","fr",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",2017-12-14,NA,NA,NA,NA,NA
"49","cod","COD-C-CORDAID","2018-2020","active","Budget_TB_HIV Grant_CORDAID_old.xlsx","hiv/tb","budget","CORDAID","na","USD","NATIONAL","TRUE","final","detailed","Detailed Budget","43101","90","12","fr",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",2017-12-14,NA,NA,NA,NA,"*This file is a copy."
"50","uga","UGA-H-MoFPED","2018-2020","active","Budget_UGA-H-MoFPED_DB_ IMPP2_GF Final.xlsx","hiv","budget","MoFPED","na","USD","NATIONAL","TRUE","initial","detailed","Recomm_Detailed_Budget","43101","90","12","eng","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,2019-09-06,"CT",NA,NA,NA
"51","uga","UGA-H-MoFPED","2018-2020","active","UGA-H-MoFPED_DB_ IMPP2_GF Adjusted_20Feb18_FINAL.XLSX","hiv","budget","MoPFED","na","USD","NATIONAL","TRUE","final","detailed","Detailed Budget","43101","90","12","eng",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",2018-02-20,NA,NA,NA,NA,NA
"52","uga","UGA-T-MoFPED","2018-2020","active","UGA-T-MoFPED_DB_ IMPP4_GF Final.xlsx","tb","budget","MoPFED","na","USD","NATIONAL","TRUE","final","detailed","Recomm_Detailed Budget","43101","90","12","eng",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",2017-12-31,NA,NA,NA,NA,"There is no update date available with the file, so just entering the last day before the start of the grant period. EL 9/10/2019."
"53","cod","COD-M-SANRU","2018-2020","active","Budget1c- COD-M-SANRU clean.xlsx","malaria","budget","SANRU","na","USD","NATIONAL","TRUE","initial","detailed","Detailed Budget","43101","90","12","fr",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA
"54","cod","COD-M-SANRU","2018-2020","active","Budget1c- COD-M-SANRU clean_27Feb2018.xlsx","malaria","budget","SANRU","na","USD","NATIONAL","TRUE","initial","detailed","Detailed Budget","43101","90","12","fr",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",2018-02-27,NA,NA,NA,NA,NA
"55","cod","COD-M-MOH","2018-2020","active","Budget1c-COD-M-MOH clean_27Feb2018.xlsx","malaria","budget","MoH","na","USD","NATIONAL","TRUE","initial","detailed","Detailed Budget","43101","90","12","fr",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",2018-02-27,NA,NA,NA,NA,NA
"56","cod","COD-M-PSI","2015-2017","not_active","Budget1c-COD-M-PSI_27Feb2018.xlsx","malaria","budget","Population Services International","na","USD","NATIONAL","TRUE","initial","detailed","Detailed Budget","42005","90","12","eng",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",2018-02-27,NA,NA,NA,NA,"*Is this not the final version?? It has the same final save date as several other grants in this period. EL 7/29/2019"
"57","cod","NA","NA","NA","CAG Budget_Finance_with undisbursed_16_12_14.xlsx","NA","budget","NA","NA","NA","NA","NA","NA","unknown",NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA
"58","cod","COD-C-CORDAID","2018-2020","active","COD_C_CORDAID_catalytic_budget_27Feb2018.xlsx","hiv/tb","budget","CORDAID","na","USD","NATIONAL","TRUE","revision","detailed","Detailed Budget","43101","90","12","fr",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",2018-02-27,NA,NA,NA,NA,"*This file was actually received earlier than the file """"COD_C_CORDAID_Budget 2018-2020 avec SRs 16_01_19 VF Groupe B.G.xlsx"""", but because of data prep issues with that file this file is currently being imported into the database. EKL 4/30/19 *This file was marked final on 11/21/2019 based on documentation during the grant making process. EL 11/21/2019"
"59","cod","COD-C-CORDAID","2018-2020","active","COD_C_CORDAID_Summary_Budget_15.05.2018.xlsx","hiv/tb","budget","CORDAID","na","USD","NATIONAL","TRUE","revision","detailed","Detailed Budget","43101","90","12","fr","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2018-05-15,NA,NA,NA,NA,NA
"60","cod","COD-M-SANRU","2018-2020","active","COD_M_SANRU NMF2 ANNEXE FINANCES  FORECAST  budget revisé 2018.xlsb","malaria","budget","SANRU","na","USD","NATIONAL","TRUE","initial","detailed","DETAIL BUDGET V2","43101","90","12","fr",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA
"61","cod","COD-C-CORDAID","2018-2020","active","COD-C- CORDAID SUIVI MESURE DE GESTION S2 2017 et Lettre _22 08 31Aug18.xlsx","hiv/tb","performance_framework","CORDAID","na","NA","NATIONAL","FALSE","final","NA",NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA
"62","cod","COD-C-CORDAID","2018-2020","active","COD-C-CORDAID_Progress Report Disbursement_31Dec2018_v18 01032019.xlsx","hiv/tb","pudr","CORDAID","na","USD","NATIONAL","TRUE","initial","pudr","LFA Expenditure_7B","43101","365","1","eng","1-AB","master","Impact Outcome Indicators_1A","fr","Disaggregation_1A","fr","Coverage Indicators_1B","fr","Disaggregation_1B","fr","43282","43465","1-B",NA,NA,NA,"EL 9/11/2019",NA,NA
"63","cod","COD-C-CORDAID","2018-2020","active","COD-C-CORDAID_Progress Report_30Jun2018_v8_VF 30Aug18.xlsx","hiv/tb","pudr","CORDAID","na","USD","NATIONAL","TRUE","initial","pudr","LFA Expenditure_7B","43101","180","1","eng","1-A","master","Impact Outcome Indicators_1A","fr","Disaggregation_1A","fr","Coverage Indicators_1B","fr","Disaggregation_1B","fr","43101","43281","1-A",2018-08-30,NA,NA,NA,NA,NA
"64","cod","COD-C-CORDAID","2018-2020","active","COD-C-CORDAID_Progress Report_30Jun2018_v8_VF Impact  04 Sept 2018.xlsx","hiv/tb","pudr","CORDAID","na","USD","NATIONAL","TRUE","initial","pudr","LFA Expenditure_7B","43101","180","1","eng","1-A","master","Impact Outcome Indicators_1A","fr","Disaggregation_1A","fr","Coverage Indicators_1B","fr","Disaggregation_1B","fr","43101","43281","1-A",2018-09-04,NA,NA,NA,NA,NA
"65","cod","COD-H-CORDAID","2015-2017","not_active","COD-H-CORDAID_PU_31Dec2017_LFA Review_080518.xlsx","hiv","pudr","CORDAID","na","USD","NATIONAL","FALSE","final","pudr","LFA Expenditure_7B","42736","365","1","eng","2-B:3-A","master","Impact Outcome Indicators_1A","eng","Disaggregation_1A","eng","Coverage Indicators_1B","eng","Disaggregation_1B","eng","42917","43100","3-A",NA,NA,NA,NA,NA,NA
"66","cod","COD-H-SANRU","2015-2017","not_active","COD-H-SANRU_Budget.xlsx","hiv","budget","SANRU","na","USD","NATIONAL","TRUE","final","detailed","DetailedBudget","42005","90","12","fr",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA
"67","cod","COD-H-SANRU","2015-2017","not_active","COD-H-SANRU_Budget_old.xlsx","hiv","budget","SANRU","na","USD","NATIONAL","TRUE","initial","detailed","DetailedBudget","42005","90","12","fr",NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA
"68","cod","COD-H-SANRU","2015-2017","not_active","COD-H-SANRU_PU_31.12.17_LFA_130418.xlsx","hiv","pudr","SANRU","na","USD","NATIONAL","TRUE","final","pudr","LFA Expenditure_7B","42736","365","1","eng","2-B:3-A","master","Impact Outcome Indicators_1A","eng","Disaggregation_1A","eng","Coverage Indicators_1B","eng","Disaggregation_1B","eng","42917","43100","3-A",2018-04-13,NA,NA,NA,NA,NA
"69","cod","COD-H-SANRU","2015-2017","not_active","COD-H-SANRU_Summay_Budget.xlsx","hiv","budget","SANRU","na","USD","NATIONAL","FALSE","initial","summary","Sheet1","42005","90","12","eng","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,"*Don't have a function to process this information at this time, so leaving financial sheet blank. EL 7/23/2019"
"70","cod","COD-M-MOH","2018-2020","active","COD-M-MOH_Annexe7_MG S2  Review02052019.xlsx","malaria","performance_framework","MoH","na","NA","NATIONAL","FALSE","final","NA",NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA
"71","cod","COD-M-MOH","2018-2020","active","COD-M-MOH_Annexes_Progress Report Disbursement_31Dec2018_v40-Vf.xlsx","malaria","document","MoH","na","USD","NATIONAL","TRUE","final","NA",NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA
"72","cod","COD-C-CORDAID","2018-2020","active","CORDAID_PUDR_S1 2019_not verified.xlsx","hiv/tb","pudr","CORDAID","NA","USD","NATIONAL","TRUE","initial","pudr","LFA Expenditure_7B","43466","180","1","eng","2-A","master","Impact Outcome Indicators_1A","fr","Disaggregation_1A","fr","Coverage Indicators_1B","fr","Disaggregation_1B","fr","43466","43646","2-A",2019-06-30,2019-09-25,"Sylvie","EL 9/27/2019",NA,NA
