indicator_code,description,name
KP-1d(M),Percentage of people who inject drugs reached with HIV prevention programs- defined package of services,% people who inject drugs reached with HIV prevention programs- defined package of services
KP-1e,Percentage of other vulnerable populations reached with HIV prevention programs- defined package of services,% other vulnerable populations reached with HIV prevention programs- defined package of services
KP-3a(M),Percentage of men who have sex with men that have received an HIV test during the reporting period and know their results,% men who have sex with men that have received an HIV test during the reporting period and know their results
KP-3b(M),Percentage of transgender people that have received an HIV test during the reporting period and know their results,% transgender people that have received an HIV test during the reporting period and know their results
KP-3c(M),Percentage of sex workers that have received an HIV test during the reporting period and know their results,% sex workers that have received an HIV test during the reporting period and know their results
KP-3d(M),Percentage of people who inject drugs that have received an HIV test during the reporting period and know their results,% people who inject drugs that have received an HIV test during the reporting period and know their results
KP-3e,Percentage of other vulnerable populations that have received an HIV test during the reporting period and know their results,% other vulnerable populations that have received an HIV test during the reporting period and know their results
KP-4,Number of needles and syringes distributed per person who injects drugs per year by needle and syringe programs,No. needles and syringes distributed per person who injects drugs per year by needle and syringe programs
KP-5,Percentage of individuals receiving opioid substitution therapy who received treatment for at least six months,% individuals receiving opioid substitution therapy who received treatment for at least six months
KP-6a,Percentage of men who have sex with men using pre-exposure prophylaxis in priority men who have sex with men pre-exposure prophylaxis populations,% men who have sex with men using pre-exposure prophylaxis in priority men who have sex with men pre-exposure prophylaxis populations
KP-6b,Percentage of transgender people using pre-exposure prophylaxis in priority transgender people pre-exposure prophylaxis populations,% transgender people using pre-exposure prophylaxis in priority transgender people pre-exposure prophylaxis populations
KP-6c,Percentage of sex workers using pre-exposure prophylaxis in priority sex worker pre-exposure prophylaxis populations,% sex workers using pre-exposure prophylaxis in priority sex worker pre-exposure prophylaxis populations
YP-1,Percentage of young people aged 10–24 years reached by life skills–based HIV education in schools,% young people aged 10–24 years reached by life skills–based HIV education in schools
YP-2,Percentage of adolescent girls and young women reached with HIV prevention programs- defined package of services,% adolescent girls and young women reached with HIV prevention programs- defined package of services
YP-3,Number of adolescent girls and young women who were tested for HIV and received their results during the reporting period,No. adolescent girls and young women who were tested for HIV and received their results during the reporting period
YP-4,Percentage of adolescent girls and young women using pre-exposure prophylaxis,% adolescent girls and young women using pre-exposure prophylaxis
PMTCT-1,Percentage of pregnant women who know their HIV status,% pregnant women who know their HIV status
PMTCT-2.1,Percentage of HIV-positive pregnant women who received antiretroviral therapy during pregnancy,% HIV-positive pregnant women who received antiretroviral therapy during pregnancy
PMTCT-3.1,Percentage of HIV-exposed infants receiving a virological test for HIV within two months of birth,% HIV-exposed infants receiving a virological test for HIV within two months of birth
HTS-1,Number of people who were tested for HIV and received their results during the reporting period,No. people who were tested for HIV and received their results during the reporting period
TCS-7,Percentage of newly diagnosed people linked to HIV care (individual linkage),% newly diagnosed people linked to HIV care (individual linkage)
TCS-1(M),Percentage of people living with HIV currently receiving antiretroviral therapy,% people living with HIV currently receiving antiretroviral therapy
TCS-2,Percentage of people living with HIV that initiated antiretroviral therapy with a CD4 count of <200 cells/mm3,% people living with HIV that initiated antiretroviral therapy with a CD4 count of <200 cells/mm3
TCS-3.1,Percentage of people living with HIV and on antiretroviral therapy who have a suppressed viral load at 12 months (<1000 copies/ml),% people living with HIV and on antiretroviral therapy who have a suppressed viral load at 12 months (<1000 copies/ml)
TCS-6,Percentage of ART sites that had a stock-out of any antiretroviral drugs during the reporting period,% ART sites that had a stock-out of any antiretroviral drugs during the reporting period
TB/HIV-5,Percentage of registered new and relapse TB patients with documented HIV status,% registered new and relapse TB patients with documented HIV status
TB/HIV-6,Percentage of HIV-positive new and relapse TB patients on antiretroviral therapy during TB treatment,% HIV-positive new and relapse TB patients on antiretroviral therapy during TB treatment
TB/HIV-3.1,Percentage of people living with HIV in care (including PMTCT) who are screened for TB in HIV care or treatment settings,% people living with HIV in care (including PMTCT) who are screened for TB in HIV care or treatment settings
TB/HIV-4.1,Percentage of people living with HIV newly enrolled in HIV care started on TB preventive therapy,% people living with HIV newly enrolled in HIV care started on TB preventive therapy
M&E-1,Percentage of HMIS or other routine reporting units submitting timely reports according to national guidelines,% HMIS or other routine reporting units submitting timely reports according to national guidelines
HTS-2-PCE,Number of patients in need reached through community health network (patients on ART lost to follow-up) that are not reached through the health facility defaulter tracking mechanism,No. patients in need reached through community health network (patients on ART lost to follow-up) that are not reached through the health facility defaulter tracking mechanism
TCS-8-PCE,Percentage of newly diagnosed PLHIV initiating ART,% newly diagnosed PLHIV initiating ART
TCS-9-PCE,Number of ARV doses administered,No. ARV doses administered
TCS-10-PCE,Number of individuals counseled,No. individuals counseled
GP-7-PCE,Number of condoms distributed,No. condoms distributed
GP-8-PCE,Number of serodiscordant couples counseled,No. serodiscordant couples counseled
KP-7-PCE,Number of community outreach sessions performed,No. community outreach sessions performed
KP-8-PCE,Number of pre-exposure prophylaxis ARV doses administered,No. pre-exposure prophylaxis ARV doses administered
GP-9-PCE,Number of post-exposure prophylaxis ARV doses administered,No. post-exposure prophylaxis ARV doses administered
GP-10-PCE,Percentage of people who have heard of HIV and know how HIV can be prevented,% people who have heard of HIV and know how HIV can be prevented
PMTCT-4-PCE,Percentage of women who have heard of HIV and know how to prevent mother-to-child transmission,% women who have heard of HIV and know how to prevent mother-to-child transmission
TCS-11-PCE,Percentage of PLHIV from key and vulnerable populations currently receiving ART,% PLHIV from key and vulnerable populations currently receiving ART
GP-11-PCE,"Number of people receiving post-exposure prophylaxis per 100,000","No. people receiving post-exposure prophylaxis per 100,000"
GP-12-PCE,"Number of sexual partners in previous year per 100,000 person-years","No. sexual partners in previous year per 100,000 person-years"
GP-13-PCE,"Number of women who regularly use female contraceptives per 100,000","No. women who regularly use female contraceptives per 100,000"
GP-14-PCE,"Frequency of commercial sex work patronage per 100,000 person-years","Frequency of commercial sex work patronage per 100,000 person-years"
GP-15-PCE,Women's participation in household decisions,Women's participation in household decisions
HIV I-15-PCE,Fraction of All Deaths due to HIV/AIDS,Fraction of All Deaths due to HIV/AIDS
HIV I-16-PCE,Case-fatality per HIV case,Case-fatality per HIV case
PMTCT-5-PCE,Number of pregnant women tested for HIV,No. pregnant women tested for HIV
HTS-3-PCE,Percentage of HIV health facilities with diagnostic capabilities,% HIV health facilities with diagnostic capabilities
TB/HIV-4.2-PCE,Percentage of people living with HIV diagnosed with TB in care and treatment settings,% people living with HIV diagnosed with TB in care and treatment settings
Malaria I-1(M),Reported malaria cases (presumed and confirmed),Reported malaria cases (presumed and confirmed)
Malaria I-2.1,"Confirmed malaria cases (microscopy or RDT): rate per 1,000 persons per year","Confirmed malaria cases (microscopy or RDT): rate per 1,000 persons per year"
Malaria I-3.1(M),"Inpatient malaria deaths: rate per 100,000 persons per year","Inpatient malaria deaths: rate per 100,000 persons per year"
Malaria I-4,Malaria test positivity rate,Malaria test positivity rate
Malaria I-5,Malaria parasite prevalence: Proportion of children aged 6-59 months with malaria infection,Malaria parasite prevalence: Prop. children aged 6-59 months with malaria infection
Malaria I-6,"All-cause under-5 mortality rate per 1,000 live births","All-cause under-5 mortality rate per 1,000 live births"
Malaria I-9(M),Number of active foci of malaria,No. active foci of malaria
Malaria I-10(M),"Annual parasite incidence: Confirmed malaria cases (microscopy or rapid diagnostic test): rate per 1,000 persons per year (Elimination settings)","Annual parasite incidence: Confirmed malaria cases (microscopy or rapid diagnostic test): rate per 1,000 persons per year (Elimination settings)"
Malaria O-1a,Proportion of population that slept under an insecticide-treated net the previous night,Prop. population that slept under an insecticide-treated net the previous night
Malaria O-1b,Proportion of children under 5 who slept under an insecticide-treated net the previous night,Prop. children under 5 who slept under an insecticide-treated net the previous night
Malaria O-1c,Proportion of pregnant women who slept under an insecticide-treated net the previous night,Prop. pregnant women who slept under an insecticide-treated net the previous night
Malaria O-2,Proportion of population with access to an insecticide-treated net within their household,Prop. population with access to an insecticide-treated net within their household
Malaria O-3,Proportion of population using an insecticide-treated net among those with access to an insecticide-treated net,Prop. population using an insecticide-treated net among those with access to an insecticide-treated net
Malaria O-4,Proportion of households with at least one insecticide-treated net for every two people and/or sprayed by indoor residual spraying within the last 12 months,Prop. households with at least one insecticide-treated net for every two people and/or sprayed by indoor residual spraying within the last 12 months
Malaria O-6,Proportion of households with at least one insecticide-treated net for every two people,Prop. households with at least one insecticide-treated net for every two people
Malaria O-7(M),Percentage of existing insecticide-treated nets used the previous night,% existing insecticide-treated nets used the previous night
Malaria O-8,Proportion of households sprayed by indoor residual spraying within the last 12 months,Prop. households sprayed by indoor residual spraying within the last 12 months
Malaria O-9(M),Annual blood examination rate: per 100 population per year (Elimination settings),Annual blood examination rate: per 100 population per year (Elimination settings)
VC-1(M),Number of long-lasting insecticidal nets distributed to at-risk populations through mass campaigns,No. long-lasting insecticidal nets distributed to at-risk populations through mass campaigns
VC-3(M),Number of long-lasting insecticidal nets distributed to targeted risk groups through continuous distribution,No. long-lasting insecticidal nets distributed to targeted risk groups through continuous distribution
VC-5,Proportion of households in targeted areas that received indoor residual spraying during the reporting period,Prop. households in targeted areas that received indoor residual spraying during the reporting period
VC-6.1,Proportion of population protected by indoor residual spraying within the last 12 months in areas targeted for indoor residual spraying,Prop. population protected by indoor residual spraying within the last 12 months in areas targeted for indoor residual spraying
CM-1a(M),Proportion of suspected malaria cases that receive a parasitological test at public sector health facilities,Prop. suspected malaria cases that receive a parasitological test at public sector health facilities
CM-1b(M),Proportion of suspected malaria cases that receive a parasitological test in the community,Prop. suspected malaria cases that receive a parasitological test in the community
CM-1c(M),Proportion of suspected malaria cases that receive a parasitological test at private sector sites,Prop. suspected malaria cases that receive a parasitological test at private sector sites
CM-2a(M),Proportion of confirmed malaria cases that received first-line antimalarial treatment at public sector health facilities,Prop. confirmed malaria cases that received first-line antimalarial treatment at public sector health facilities
CM-2b(M),Proportion of confirmed malaria cases that received first-line antimalarial treatment in the community,Prop. confirmed malaria cases that received first-line antimalarial treatment in the community
CM-2c(M),Proportion of confirmed malaria cases that received first-line antimalarial treatment at private sector sites,Prop. confirmed malaria cases that received first-line antimalarial treatment at private sector sites
CM-3a,Proportion of malaria cases (presumed and confirmed) that received first line antimalarial treatment at public sector health facilities,Prop. malaria cases (presumed and confirmed) that received first line antimalarial treatment at public sector health facilities
CM-3b,Proportion of malaria cases (presumed and confirmed) that received first line antimalarial treatment in the community,Prop. malaria cases (presumed and confirmed) that received first line antimalarial treatment in the community
CM-3c,Proportion of malaria cases (presumed and confirmed) that received first-line antimalarial treatment at private sector health facilities,Prop. malaria cases (presumed and confirmed) that received first-line antimalarial treatment at private sector health facilities
CM-4,Proportion of health facilities without stock-outs of key commodities during the reporting period,Prop. health facilities without stock-outs of key commodities during the reporting period
CM-5(M),Percentage of confirmed cases fully investigated and classified,% confirmed cases fully investigated and classified
CM-6(M),Percentage of malaria foci fully investigated and classified,% malaria foci fully investigated and classified
SPI-1,Proportion of pregnant women attending antenatal clinics who received three or more doses of intermittent preventive treatment for malaria,Prop. pregnant women attending antenatal clinics who received three or more doses of intermittent preventive treatment for malaria
SPI-2,Percentage of children aged 3–59 months who received the full number  of courses of seasonal malaria chemoprevention (3 or 4) per transmission season in the targeted areas,% children aged 3–59 months who received the full number  of courses of seasonal malaria chemoprevention (3 or 4) per transmission season in the targeted areas
M&E-1,Percentage of HMIS or other routine reporting units submitting timely reports according to national guidelines,% HMIS or other routine reporting units submitting timely reports according to national guidelines
M&E-2,Proportion of facility reports received over the reports expected during the reporting period,Prop. facility reports received over the reports expected during the reporting period
HSS I-1,"Under-5 mortality rate per 1,000 live births","Under-5 mortality rate per 1,000 live births"
HSS I-2,"Neonatal mortality rate per 100,000 population","Neonatal mortality rate per 100,000 population"
HSS I-3,"Maternal mortality ratio per 100,000 population","Maternal mortality ratio per 100,000 population"
HSS O-1,Percentage of women attending antenatal care,% women attending antenatal care
HSS O-2,Percentage of births attended by skilled health professional,% births attended by skilled health professional
HSS O-3,Ratio of household out-of-pocket payments for health to total expenditure on health,Ratio of household out-of-pocket payments for health to total expenditure on health
PSM-2,Percentage of health facilities with essential medicines and lifesaving commodities in stock,% health facilities with essential medicines and lifesaving commodities in stock
PSM-3,Percentage of facilities providing diagnostic services with tracer items on the day of the assessment,% facilities providing diagnostic services with tracer items on the day of the assessment
M&E-1,Percentage of HMIS or other routine reporting units submitting timely reports according to national guidelines,% HMIS or other routine reporting units submitting timely reports according to national guidelines
M&E-2,Proportion of facility reports received over the reports expected during the reporting period,Prop. facility reports received over the reports expected during the reporting period
M&E-3,"Percentage of deaths registered (as reported by civil or sample registration systems, hospitals, community-based reporting systems) among the total estimated deaths for the same period and geographical region","% deaths registered (as reported by civil or sample registration systems, hospitals, community-based reporting systems) among the total estimated deaths for the same period and geographical region"
HW-1,"Number of health workers per 10,000 population (report on community health workers as applicable)","No. health workers per 10,000 population (report on community health workers as applicable)"
HW-2,Distribution of health workers,Distribution of health workers
HW-3,"Number of health workers newly recruited at primary health care facilities in the past 12 months, expressed as a percentage of planned recruitment targets","No. health workers newly recruited at primary health care facilities in the past 12 months, expressed as a % planned recruitment targets"
HW-4,Annual rate of retention of service providers at primary health care facilities,Annual rate of retention of service providers at primary health care facilities
HW-5,"Number of graduates from health workforce training institutions during the last academic year per 1,000 population","No. graduates from health workforce training institutions during the last academic year per 1,000 population"
SD-1,"Number of health facilities per 10,000 population","No. health facilities per 10,000 population"
SD-3,Number of outpatient department visits per person per year,No. outpatient department visits per person per year
HF-1,Government expenditure on health as percentage of general government expenditure,Government expenditure on health as % general government expenditure
