"","cost_category","loc_id","budget","disbursement","source","start_date","period","expenditure","disease","data_source","code","coeff","end_date"
"37","All","SANTA CRUZ DEL QUICHE",600100,6e+05,"gf",2013-01-01,365,NA,"malaria","SICOIN","NODATA",1,2013-12-31
"38","All","IXCAN",424100,369950,"gf",2013-01-01,365,NA,"malaria","SICOIN","NODATA",1,2013-12-31
"39","All","SALAMA",1060584,852219,"gf",2013-01-01,365,NA,"malaria","SICOIN","NODATA",1,2013-12-31
"40","All","GRANADOS",0,0,"gf",2013-01-01,365,NA,"malaria","SICOIN","NODATA",1,2013-12-31
"41","All","COBAN",1358872,1061680,"gf",2013-01-01,365,NA,"malaria","SICOIN","NODATA",1,2013-12-31
"42","All","FLORES",466200,454200,"gf",2013-01-01,365,NA,"malaria","SICOIN","NODATA",1,2013-12-31
"43","All","SANTA ANA",295580,295023,"gf",2013-01-01,365,NA,"malaria","SICOIN","NODATA",1,2013-12-31
"44","All","SAYAXCHE",710834,675420,"gf",2013-01-01,365,NA,"malaria","SICOIN","NODATA",1,2013-12-31
"45","All","POPTUN",0,0,"gf",2013-01-01,365,NA,"malaria","SICOIN","NODATA",1,2013-12-31
"46","All","PUERTO BARRIOS",1466124,892003,"gf",2013-01-01,365,NA,"malaria","SICOIN","NODATA",1,2013-12-31
"47","All","ZACAPA",1760394,1605800,"gf",2013-01-01,365,NA,"malaria","SICOIN","NODATA",1,2013-12-31
"48","All","JALAPA",940416,641580,"gf",2013-01-01,365,NA,"malaria","SICOIN","NODATA",1,2013-12-31
"49","All","CHIMALTENANGO",0,0,"gf",2014-01-01,365,NA,"malaria","SICOIN","NODATA",1,2014-12-31
"50","All","SAN JOSE POAQUIL",0,0,"gf",2014-01-01,365,NA,"malaria","SICOIN","NODATA",1,2014-12-31
"51","All","SAN MARTIN JILOTEPEQUE",0,0,"gf",2014-01-01,365,NA,"malaria","SICOIN","NODATA",1,2014-12-31
"52","All","SANTA APOLONIA",0,0,"gf",2014-01-01,365,NA,"malaria","SICOIN","NODATA",1,2014-12-31
"53","All","POCHUTA",0,0,"gf",2014-01-01,365,NA,"malaria","SICOIN","NODATA",1,2014-12-31
"54","All","YEPOCAPA",0,0,"gf",2014-01-01,365,NA,"malaria","SICOIN","NODATA",1,2014-12-31
"55","All","ESCUINTLA",0,0,"gf",2014-01-01,365,NA,"malaria","SICOIN","NODATA",1,2014-12-31
"56","All","LA DEMOCRACIA",0,0,"gf",2014-01-01,365,NA,"malaria","SICOIN","NODATA",1,2014-12-31
"57","All","MASAGUA",0,0,"gf",2014-01-01,365,NA,"malaria","SICOIN","NODATA",1,2014-12-31
"58","All","LA GOMERA",0,0,"gf",2014-01-01,365,NA,"malaria","SICOIN","NODATA",1,2014-12-31
"59","All","CUILAPA",0,0,"gf",2014-01-01,365,NA,"malaria","SICOIN","NODATA",1,2014-12-31
"60","All","QUETZALTENANGO",0,0,"gf",2014-01-01,365,NA,"malaria","SICOIN","NODATA",1,2014-12-31
"61","All","MAZATENANGO",0,0,"gf",2014-01-01,365,NA,"malaria","SICOIN","NODATA",1,2014-12-31
"62","All","RETALHULEU",0,0,"gf",2014-01-01,365,NA,"malaria","SICOIN","NODATA",1,2014-12-31
"63","All","MALACATAN",0,0,"gf",2014-01-01,365,NA,"malaria","SICOIN","NODATA",1,2014-12-31
"64","All","HUEHUETENANGO",0,0,"gf",2014-01-01,365,NA,"malaria","SICOIN","NODATA",1,2014-12-31
"65","All","CUILCO",0,0,"gf",2014-01-01,365,NA,"malaria","SICOIN","NODATA",1,2014-12-31
"66","All","JOYABAJ",0,0,"gf",2014-01-01,365,NA,"malaria","SICOIN","NODATA",1,2014-12-31
"67","All","IXCAN",0,0,"gf",2014-01-01,365,NA,"malaria","SICOIN","NODATA",1,2014-12-31
"68","All","SALAMA",0,0,"gf",2014-01-01,365,NA,"malaria","SICOIN","NODATA",1,2014-12-31
"69","All","COBAN",0,0,"gf",2014-01-01,365,NA,"malaria","SICOIN","NODATA",1,2014-12-31
"70","All","FLORES",0,0,"gf",2014-01-01,365,NA,"malaria","SICOIN","NODATA",1,2014-12-31
"71","All","SAYAXCHE",0,0,"gf",2014-01-01,365,NA,"malaria","SICOIN","NODATA",1,2014-12-31
"72","All","PUERTO BARRIOS",0,0,"gf",2014-01-01,365,NA,"malaria","SICOIN","NODATA",1,2014-12-31
"73","All","ZACAPA",0,0,"gf",2014-01-01,365,NA,"malaria","SICOIN","NODATA",1,2014-12-31
"74","All","JALAPA",0,0,"gf",2014-01-01,365,NA,"malaria","SICOIN","NODATA",1,2014-12-31
"75","DIAGNÓSTICO Y TRATAMIENTO DE ITS, VIH/SIDA","gtm",11214718.5,10428820.97,"ghe",2013-01-01,365,NA,"hiv","SICOIN","H1_2",0.5,2013-12-31
"76","DIAGNÓSTICO Y TRATAMIENTO DE ITS, VIH/SIDA","gtm",11214718.5,10428820.97,"ghe",2013-01-01,365,NA,"hiv","SICOIN","H3",0.5,2013-12-31
"77","DIAGNÓSTICO Y TRATAMIENTO DE ITS, VIH/SIDA","gtm",15872752.5,14992601.73,"ghe",2014-01-01,365,NA,"hiv","SICOIN","H1_2",0.5,2014-12-31
"78","DIAGNÓSTICO Y TRATAMIENTO DE ITS, VIH/SIDA","gtm",15872752.5,14992601.73,"ghe",2014-01-01,365,NA,"hiv","SICOIN","H3",0.5,2014-12-31
"79","DIAGNÓSTICO Y TRATAMIENTO DE LA TUBERCULOSIS","gtm",3454865.5,3268897.635,"ghe",2013-01-01,365,NA,"tb","SICOIN","T1_2",0.5,2013-12-31
"80","DIAGNÓSTICO Y TRATAMIENTO DE LA TUBERCULOSIS","gtm",3454865.5,3268897.635,"ghe",2013-01-01,365,NA,"tb","SICOIN","T3_1",0.5,2013-12-31
"81","DIAGNÓSTICO Y TRATAMIENTO DE LA TUBERCULOSIS","gtm",3454865.5,3268897.635,"ghe",2013-01-01,365,NA,"tb","SICOIN","T1_2",0.5,2013-12-31
"82","DIAGNÓSTICO Y TRATAMIENTO DE LA TUBERCULOSIS","gtm",3454865.5,3268897.635,"ghe",2013-01-01,365,NA,"tb","SICOIN","T3_1",0.5,2013-12-31
"83","DIAGNÓSTICO Y TRATAMIENTO DE LA TUBERCULOSIS","gtm",2566212.5,2132630.705,"ghe",2014-01-01,365,NA,"tb","SICOIN","T1_2",0.5,2014-12-31
"84","DIAGNÓSTICO Y TRATAMIENTO DE LA TUBERCULOSIS","gtm",2566212.5,2132630.705,"ghe",2014-01-01,365,NA,"tb","SICOIN","T3_1",0.5,2014-12-31
"85","DIAGNÓSTICO Y TRATAMIENTO DE LA TUBERCULOSIS","gtm",2566212.5,2132630.705,"ghe",2014-01-01,365,NA,"tb","SICOIN","T1_2",0.5,2014-12-31
"86","DIAGNÓSTICO Y TRATAMIENTO DE LA TUBERCULOSIS","gtm",2566212.5,2132630.705,"ghe",2014-01-01,365,NA,"tb","SICOIN","T3_1",0.5,2014-12-31
"87","PREVENCIÓN DE ITS, VIH/SIDA","gtm",42332668,37540534.7,"ghe",2013-01-01,365,NA,"hiv","SICOIN","H2_1",1,2013-12-31
"88","PREVENCIÓN DE ITS, VIH/SIDA","gtm",89567383,72617435.38,"ghe",2014-01-01,365,NA,"hiv","SICOIN","H2_1",1,2014-12-31
"89","PREVENCIÓN DE LA TUBERCULOSIS","gtm",7946923,6293162.92,"ghe",2013-01-01,365,NA,"tb","SICOIN","T2_1",1,2013-12-31
"90","PREVENCIÓN DE LA TUBERCULOSIS","gtm",7946923,6293162.92,"ghe",2013-01-01,365,NA,"tb","SICOIN","T2_1",1,2013-12-31
"91","PREVENCIÓN DE LA TUBERCULOSIS","gtm",9904008,8608303.3,"ghe",2014-01-01,365,NA,"tb","SICOIN","T2_1",1,2014-12-31
"92","PREVENCIÓN DE LA TUBERCULOSIS","gtm",9904008,8608303.3,"ghe",2014-01-01,365,NA,"tb","SICOIN","T2_1",1,2014-12-31
"93","PREVENCIÓN, CONTROL Y VIGILANCIA DE LA MALARIA","gtm",12793489.9872065,10519005.5661477,"ghe",2013-01-01,365,NA,"malaria","SICOIN","M2_1",0.333333333,2013-12-31
"94","PREVENCIÓN, CONTROL Y VIGILANCIA DE LA MALARIA","gtm",12793489.9872065,10519005.5661477,"ghe",2013-01-01,365,NA,"malaria","SICOIN","M2_2",0.333333333,2013-12-31
"95","PREVENCIÓN, CONTROL Y VIGILANCIA DE LA MALARIA","gtm",12793489.9872065,10519005.5661477,"ghe",2013-01-01,365,NA,"malaria","SICOIN","M2_3",0.333333333,2013-12-31
"96","PREVENCIÓN, CONTROL Y VIGILANCIA DE LA MALARIA","gtm",15302108.9846979,11743090.6615902,"ghe",2014-01-01,365,NA,"malaria","SICOIN","M2_1",0.333333333,2014-12-31
"97","PREVENCIÓN, CONTROL Y VIGILANCIA DE LA MALARIA","gtm",15302108.9846979,11743090.6615902,"ghe",2014-01-01,365,NA,"malaria","SICOIN","M2_2",0.333333333,2014-12-31
"98","PREVENCIÓN, CONTROL Y VIGILANCIA DE LA MALARIA","gtm",15302108.9846979,11743090.6615902,"ghe",2014-01-01,365,NA,"malaria","SICOIN","M2_3",0.333333333,2014-12-31
"99","PREVENCIÓN, CONTROL Y VIGILANCIA DE OTROS VECTORES","gtm",2552684.99744732,2496316.92417035,"ghe",2013-01-01,365,NA,"malaria","SICOIN","M2_1",0.333333333,2013-12-31
"100","PREVENCIÓN, CONTROL Y VIGILANCIA DE OTROS VECTORES","gtm",2552684.99744732,2496316.92417035,"ghe",2013-01-01,365,NA,"malaria","SICOIN","M2_2",0.333333333,2013-12-31
"101","PREVENCIÓN, CONTROL Y VIGILANCIA DE OTROS VECTORES","gtm",2552684.99744732,2496316.92417035,"ghe",2013-01-01,365,NA,"malaria","SICOIN","M2_3",0.333333333,2013-12-31
"102","PREVENCIÓN, CONTROL Y VIGILANCIA DE OTROS VECTORES","gtm",4382370.99561763,4249546.08908379,"ghe",2014-01-01,365,NA,"malaria","SICOIN","M2_1",0.333333333,2014-12-31
"103","PREVENCIÓN, CONTROL Y VIGILANCIA DE OTROS VECTORES","gtm",4382370.99561763,4249546.08908379,"ghe",2014-01-01,365,NA,"malaria","SICOIN","M2_2",0.333333333,2014-12-31
"104","PREVENCIÓN, CONTROL Y VIGILANCIA DE OTROS VECTORES","gtm",4382370.99561763,4249546.08908379,"ghe",2014-01-01,365,NA,"malaria","SICOIN","M2_3",0.333333333,2014-12-31
"105","VÍCTIMAS/SOBREVIVIENTES ATENDIDAS POR VIOLENCIA SEXUAL","gtm",568532,565196.14,"ghe",2013-01-01,365,NA,"hiv","SICOIN","H1_1",1,2013-12-31
"106","VÍCTIMAS/SOBREVIVIENTES ATENDIDAS POR VIOLENCIA SEXUAL","gtm",3816028,2468309.65,"ghe",2014-01-01,365,NA,"hiv","SICOIN","H1_1",1,2014-12-31
"107","PERSONA ATENDIDA PARA LA PREVENCIÓN DE ITS, VIH/SIDA","gtm",92206617.75,53460270.34,"ghe",2015-01-01,365,NA,"hiv","SICOIN","H2_1",1,2015-12-31
"108","PERSONA ATENDIDA PARA LA PREVENCIÓN DE ITS, VIH/SIDA","gtm",53010069,46029549.31,"ghe",2016-01-01,365,NA,"hiv","SICOIN","H2_1",1,2016-12-30
"109","PERSONA BENEFICIADA CON ACCIONES DE PREVENCIÓN, CONTROL Y VIGILANCIA DE LA MALARIA","gtm",21341293.9786587,13159738.9568403,"ghe",2015-01-01,365,NA,"malaria","SICOIN","M2_1",0.333333333,2015-12-31
"110","PERSONA BENEFICIADA CON ACCIONES DE PREVENCIÓN, CONTROL Y VIGILANCIA DE LA MALARIA","gtm",21341293.9786587,13159738.9568403,"ghe",2015-01-01,365,NA,"malaria","SICOIN","M2_2",0.333333333,2015-12-31
"111","PERSONA BENEFICIADA CON ACCIONES DE PREVENCIÓN, CONTROL Y VIGILANCIA DE LA MALARIA","gtm",21341293.9786587,13159738.9568403,"ghe",2015-01-01,365,NA,"malaria","SICOIN","M2_3",0.333333333,2015-12-31
"112","PERSONA BENEFICIADA CON ACCIONES DE PREVENCIÓN, CONTROL Y VIGILANCIA DE LA MALARIA","gtm",12334262.9876657,9719639.79694703,"ghe",2016-01-01,365,NA,"malaria","SICOIN","M2_1",0.333333333,2016-12-30
"113","PERSONA BENEFICIADA CON ACCIONES DE PREVENCIÓN, CONTROL Y VIGILANCIA DE LA MALARIA","gtm",12334262.9876657,9719639.79694703,"ghe",2016-01-01,365,NA,"malaria","SICOIN","M2_2",0.333333333,2016-12-30
"114","PERSONA BENEFICIADA CON ACCIONES DE PREVENCIÓN, CONTROL Y VIGILANCIA DE LA MALARIA","gtm",12334262.9876657,9719639.79694703,"ghe",2016-01-01,365,NA,"malaria","SICOIN","M2_3",0.333333333,2016-12-30
"115","PERSONA BENEFICIADA CON ACCIONES DE PREVENCIÓN, CONTROL Y VIGILANCIA DE OTRAS ENFERMEDADES TRANSMITIDAS POR VECTORES (CHAGAS Y LEISHMANIASIS)","gtm",1610288.99838971,1405028.7019283,"ghe",2015-01-01,365,NA,"malaria","SICOIN","M2_1",0.333333333,2015-12-31
"116","PERSONA BENEFICIADA CON ACCIONES DE PREVENCIÓN, CONTROL Y VIGILANCIA DE OTRAS ENFERMEDADES TRANSMITIDAS POR VECTORES (CHAGAS Y LEISHMANIASIS)","gtm",1610288.99838971,1405028.7019283,"ghe",2015-01-01,365,NA,"malaria","SICOIN","M2_2",0.333333333,2015-12-31
"117","PERSONA BENEFICIADA CON ACCIONES DE PREVENCIÓN, CONTROL Y VIGILANCIA DE OTRAS ENFERMEDADES TRANSMITIDAS POR VECTORES (CHAGAS Y LEISHMANIASIS)","gtm",1610288.99838971,1405028.7019283,"ghe",2015-01-01,365,NA,"malaria","SICOIN","M2_3",0.333333333,2015-12-31
"118","PERSONA BENEFICIADA CON ACCIONES DE PREVENCIÓN, CONTROL Y VIGILANCIA DE OTRAS ENFERMEDADES TRANSMITIDAS POR VECTORES (CHAGAS Y LEISHMANIASIS)","gtm",1917555.33141578,1769417.23489725,"ghe",2016-01-01,365,NA,"malaria","SICOIN","M2_1",0.333333333,2016-12-30
"119","PERSONA BENEFICIADA CON ACCIONES DE PREVENCIÓN, CONTROL Y VIGILANCIA DE OTRAS ENFERMEDADES TRANSMITIDAS POR VECTORES (CHAGAS Y LEISHMANIASIS)","gtm",1917555.33141578,1769417.23489725,"ghe",2016-01-01,365,NA,"malaria","SICOIN","M2_2",0.333333333,2016-12-30
"120","PERSONA BENEFICIADA CON ACCIONES DE PREVENCIÓN, CONTROL Y VIGILANCIA DE OTRAS ENFERMEDADES TRANSMITIDAS POR VECTORES (CHAGAS Y LEISHMANIASIS)","gtm",1917555.33141578,1769417.23489725,"ghe",2016-01-01,365,NA,"malaria","SICOIN","M2_3",0.333333333,2016-12-30
"121","PERSONA CON DIAGNÓSTICO DE LA TUBERCULOSIS QUE RECIBE TRATAMIENTO","gtm",12633868,11576022.72,"ghe",2015-01-01,365,NA,"tb","SICOIN","T1_2",1,2015-12-31
"122","PERSONA CON DIAGNÓSTICO DE LA TUBERCULOSIS QUE RECIBE TRATAMIENTO","gtm",12633868,11576022.72,"ghe",2015-01-01,365,NA,"tb","SICOIN","T1_2",1,2015-12-31
"123","PERSONA CON DIAGNÓSTICO DE LA TUBERCULOSIS QUE RECIBE TRATAMIENTO","gtm",9573746,8443711.72,"ghe",2016-01-01,365,NA,"tb","SICOIN","T1_2",1,2016-12-30
"124","PERSONA CON DIAGNÓSTICO DE LA TUBERCULOSIS QUE RECIBE TRATAMIENTO","gtm",9573746,8443711.72,"ghe",2016-01-01,365,NA,"tb","SICOIN","T1_2",1,2016-12-30
"125","PERSONA CON DIAGNÓSTICO Y TRATAMIENTO DE ITS, VIH/SIDA","gtm",5901580.125,3912700.48,"ghe",2015-01-01,365,NA,"hiv","SICOIN","H1_2",0.5,2015-12-31
"126","PERSONA CON DIAGNÓSTICO Y TRATAMIENTO DE ITS, VIH/SIDA","gtm",5901580.125,3912700.48,"ghe",2015-01-01,365,NA,"hiv","SICOIN","H3",0.5,2015-12-31
"127","PERSONA CON DIAGNÓSTICO Y TRATAMIENTO DE ITS, VIH/SIDA","gtm",14417729.5,12260989.04,"ghe",2016-01-01,365,NA,"hiv","SICOIN","H1_2",0.5,2016-12-30
"128","PERSONA CON DIAGNÓSTICO Y TRATAMIENTO DE ITS, VIH/SIDA","gtm",14417729.5,12260989.04,"ghe",2016-01-01,365,NA,"hiv","SICOIN","H3",0.5,2016-12-30
"129","PERSONA INFORMADA SOBRE LA PREVENCIÓN DE LA TUBERCULOSIS","gtm",32604651,7548709.82,"ghe",2015-01-01,365,NA,"tb","SICOIN","T2_1",1,2015-12-31
"130","PERSONA INFORMADA SOBRE LA PREVENCIÓN DE LA TUBERCULOSIS","gtm",32604651,7548709.82,"ghe",2015-01-01,365,NA,"tb","SICOIN","T2_1",1,2015-12-31
"131","PERSONA INFORMADA SOBRE LA PREVENCIÓN DE LA TUBERCULOSIS","gtm",12857943,6369105.47,"ghe",2016-01-01,365,NA,"tb","SICOIN","T2_1",1,2016-12-30
"132","PERSONA INFORMADA SOBRE LA PREVENCIÓN DE LA TUBERCULOSIS","gtm",12857943,6369105.47,"ghe",2016-01-01,365,NA,"tb","SICOIN","T2_1",1,2016-12-30
"133","PREVENCIÓN DE ENFERMEDADES TRANSMITIDAS POR VECTORES (MALARIA, DENGUE Y OTRAS ENFERMEDADES VECTORIALES)","gtm",19658430.9803416,19122708.2842106,"ghe",2012-01-01,365,NA,"malaria","SICOIN","M2_1",0.333333333,2012-12-30
"134","PREVENCIÓN DE ENFERMEDADES TRANSMITIDAS POR VECTORES (MALARIA, DENGUE Y OTRAS ENFERMEDADES VECTORIALES)","gtm",19658430.9803416,19122708.2842106,"ghe",2012-01-01,365,NA,"malaria","SICOIN","M2_2",0.333333333,2012-12-30
"135","PREVENCIÓN DE ENFERMEDADES TRANSMITIDAS POR VECTORES (MALARIA, DENGUE Y OTRAS ENFERMEDADES VECTORIALES)","gtm",19658430.9803416,19122708.2842106,"ghe",2012-01-01,365,NA,"malaria","SICOIN","M2_3",0.333333333,2012-12-30
"136","PREVENCIÓN DE ITS Y VIH/SIDA","gtm",50065335,48112398.07,"ghe",2012-01-01,365,NA,"hiv","SICOIN","H2_1",1,2012-12-30
"137","PREVENCIÓN Y CONTROL DE LA TUBERCULOSIS Y OTRAS MICOBACTERIOSIS","gtm",8259693,7827746.53,"ghe",2012-01-01,365,NA,"tb","SICOIN","T2_1",1,2012-12-30
"138","PREVENCIÓN Y CONTROL DE LA TUBERCULOSIS Y OTRAS MICOBACTERIOSIS","gtm",8259693,7827746.53,"ghe",2012-01-01,365,NA,"tb","SICOIN","T2_1",1,2012-12-30
"139","REGISTRO, CONTROL Y VIGILANCIA DE LA MALARIA","gtm",25712568,24717698.96,"ghe",2012-01-01,365,NA,"malaria","SICOIN","M4_3",1,2012-12-30
"140","Diagnosis","gtm",0,0,"gf",2014-07-01,90,0,"malaria","fpm_budget","M1_2",1,2014-09-28
"141","Diagnosis","gtm",23674.2628096962,0,"gf",2014-10-01,90,0,"malaria","fpm_budget","M1_2",1,2014-12-29
"142","Diagnosis","gtm",0,0,"gf",2015-01-01,90,0,"malaria","fpm_budget","M1_2",1,2015-03-31
"143","Diagnosis","gtm",35048.2562173459,0,"gf",2015-04-01,90,0,"malaria","fpm_budget","M1_2",1,2015-06-29
"144","Diagnosis","gtm",31214.103290522,0,"gf",2015-07-01,90,0,"malaria","fpm_budget","M1_2",1,2015-09-28
"145","Diagnosis","gtm",53766.3018559062,0,"gf",2015-10-01,90,0,"malaria","fpm_budget","M1_2",1,2015-12-29
"146","Diagnosis","gtm",166117.958333333,0,"gf",2016-01-01,90,0,"malaria","fpm_budget","M1_2",1,2016-03-30
"147","Diagnosis","gtm",181136.023333333,0,"gf",2016-04-01,90,0,"malaria","fpm_budget","M1_2",1,2016-06-29
"148","Diagnosis","gtm",256619.557688172,0,"gf",2016-07-01,90,0,"malaria","fpm_budget","M1_2",1,2016-09-28
"149","Diagnosis","gtm",35983.5512903226,0,"gf",2016-10-01,90,0,"malaria","fpm_budget","M1_2",1,2016-12-29
"150","Health information systems and M&E - Análisis, revisión y transparencia","gtm",41163.761899131,0,"gf",2016-10-01,90,0,"hiv","fpm_budget","T5_2",1,2016-12-29
"151","Health information systems and M&E - Análisis, revisión y transparencia","gtm",86504.8778664258,0,"gf",2017-01-01,90,0,"hiv","fpm_budget","T5_2",1,2017-03-31
"152","Health information systems and M&E - Análisis, revisión y transparencia","gtm",23938.8778664258,0,"gf",2017-04-01,90,0,"hiv","fpm_budget","T5_2",1,2017-06-29
"153","Health information systems and M&E - Análisis, revisión y transparencia","gtm",8603.74790188444,0,"gf",2017-07-01,90,0,"hiv","fpm_budget","T5_2",1,2017-09-28
"154","Health information systems and M&E - Análisis, revisión y transparencia","gtm",1163.761899131,0,"gf",2017-10-01,90,0,"hiv","fpm_budget","T5_2",1,2017-12-29
"155","Health information systems and M&E - Análisis, revisión y transparencia","gtm",NA,0,"gf",2016-07-01,90,0,"tb","fpm_budget","T5_2",1,2016-09-28
"156","Health information systems and M&E - Análisis, revisión y transparencia","gtm",7425.52321377147,0,"gf",2016-10-01,90,0,"tb","fpm_budget","T5_2",1,2016-12-29
"157","Health information systems and M&E - Análisis, revisión y transparencia","gtm",15802.7578041597,0,"gf",2017-01-01,90,0,"tb","fpm_budget","T5_2",1,2017-03-31
"158","Health information systems and M&E - Análisis, revisión y transparencia","gtm",NA,0,"gf",2017-04-01,90,0,"tb","fpm_budget","T5_2",1,2017-06-29
"159","Health information systems and M&E - Análisis, revisión y transparencia","gtm",NA,0,"gf",2017-07-01,90,0,"tb","fpm_budget","T5_2",1,2017-09-28
"160","Health information systems and M&E - Análisis, revisión y transparencia","gtm",7722.44089381399,0,"gf",2017-10-01,90,0,"tb","fpm_budget","T5_2",1,2017-12-29
"161","Health information systems and M&E - Análisis, revisión y transparencia","gtm",16434.8681163261,0,"gf",2018-01-01,90,0,"tb","fpm_budget","T5_2",1,2018-03-31
"162","Health information systems and M&E - Análisis, revisión y transparencia","gtm",NA,0,"gf",2018-04-01,90,0,"tb","fpm_budget","T5_2",1,2018-06-29
"163","Health information systems and M&E - Análisis, revisión y transparencia","gtm",NA,0,"gf",2018-07-01,90,0,"tb","fpm_budget","T5_2",1,2018-09-28
"164","Health information systems and M&E - Análisis, revisión y transparencia","gtm",8031.40423316277,0,"gf",2018-10-01,90,0,"tb","fpm_budget","T5_2",1,2018-12-29
"165","Health information systems and M&E - Análisis, revisión y transparencia","gtm",17091.1740385276,0,"gf",2019-01-01,90,0,"tb","fpm_budget","T5_2",1,2019-03-31
"166","Health information systems and M&E - Análisis, revisión y transparencia","gtm",NA,0,"gf",2019-04-01,90,0,"tb","fpm_budget","T5_2",1,2019-06-29
"167","Health information systems and M&E - Encuestas","gtm",103911.19,0,"gf",2016-10-01,90,0,"hiv","fpm_budget","T5_2",1,2016-12-29
"168","Health information systems and M&E - Encuestas","gtm",103911.19,0,"gf",2017-01-01,90,0,"hiv","fpm_budget","T5_2",1,2017-03-31
"169","Health information systems and M&E - Encuestas","gtm",NA,0,"gf",2017-04-01,90,0,"hiv","fpm_budget","T5_2",1,2017-06-29
